,scores0,scores1
1262,35.054,36.259
1263,35.445,36.817
1264,35.663,36.778
1265,35.489,37.041
1266,35.25,37.24
1267,35.354,37.254
1268,35.095,36.773
1269,35.074,36.415
1270,35.155,36.54
1271,35.024,36.689
1272,34.864,36.929
1273,34.546,37.187
1274,34.459,37.197
1275,34.564,37.135
1276,34.821,37.036
1277,35.127,37.143
1278,35.413,37.202
1279,35.5,37.284
1280,35.526,37.366
1281,35.147,37.231
1282,35.152,36.668
1283,35.028,36.366
1284,34.813,36.363
1285,34.566,36.236
1286,34.995,36.165
1287,35.331,36.063
1288,35.616,36.357
1289,35.473,36.584
1290,35.511,36.651
1291,35.57,36.312
1292,35.707,35.941
1293,35.812,35.878
1294,35.811,35.815
1295,36.061,35.756
1296,36.036,36.102
1297,36.069,35.997
1298,35.954,36.026
1299,36.019,35.838
1300,35.979,35.645
1301,35.681,35.816
1302,35.898,36.21
1303,36.116,36.456
1304,36.146,36.476
1305,35.894,36.492
1306,36.109,36.793
1307,35.746,37.0
1308,35.685,36.8
1309,35.852,37.304
1310,36.059,37.548
1311,36.217,37.359
1312,36.09,37.24
1313,36.294,37.244
1314,36.134,37.481
1315,36.188,37.238
1316,36.229,37.373
1317,36.028,37.566
1318,35.994,37.519
1319,36.089,37.371
1320,36.205,37.855
1321,36.218,37.842
1322,36.088,38.155
1323,36.172,37.792
1324,35.973,37.736
1325,35.835,37.292
1326,36.087,37.191
1327,36.086,37.404
1328,35.985,37.451
1329,36.035,37.206
1330,36.375,36.686
1331,36.555,36.546
1332,36.904,36.728
1333,36.745,36.678
1334,37.021,36.707
1335,36.97,36.881
1336,36.834,37.29
1337,36.783,37.317
1338,36.857,37.684
1339,36.97,37.903
1340,37.084,37.518
1341,36.966,37.679
1342,36.807,37.589
1343,37.022,37.585
1344,36.981,37.593
1345,37.09,37.763
1346,37.081,37.664
1347,36.741,37.975
1348,36.538,37.904
1349,36.211,37.973
1350,35.909,37.818
1351,35.694,38.024
1352,36.084,37.957
1353,36.537,38.166
1354,36.527,38.014
1355,36.595,38.001
1356,36.756,37.854
1357,36.757,37.949
